//Index   Message
231       "bạn cần %d resets để di chuyển"
232       "bạn cần max %d resets để di chuyển"
240       "Senior is not currently active"
241       "Senior does not work during Castle Siege"
242       "You have to be in guild owner of castle to use Senior"
243       "You must be owner of guild to use Senior"
244       "Guardsman does not work during Castle Siege"
245       "Bạn đã tham gia hội"
246       "Bạn không đủ điều kiện để tạo GUILD"
247       "Shop trống"
248       "[TÀI KHOẢN]: Thường"
249       "[TÀI KHOẢN]: Đồng (%s)"
250       "[TÀI KHOẢN]: Bạc (%s)"
251       "[TÀI KHOẢN]: Vàng (%s)"
256       "%s, Chào mừng bạn!"
257       "Bạn cần 40 level để ném vật phẩm này"
258       "Bạn cần 80 level để ném vật phẩm này"
259       "Bạn không thể move đến map khác trong thời điểm này"
260       "Vật phẩm này không thuộc về bạn"
261       "Bạn không thể rời game khi đang giao dịch"
262       "Bạn không thể rời game khi đang mở thùng đồ"
263       "Bạn không thể rời game khi đang sự dụng Chaos Machine"
264       "Bạn không thể rời game khi đang huấn luyện PET"
265       "Bạn không thể rời game trong trạng thái chiến đấu"
266       "Bạn đã đạt cấp độ tối đa"
267       "Bạn đã đạt cấp độ(Master) tối đa"
268       "Bạn chỉ có thể cộng %d điểm"
269       "Bạn không thể nói chuyện trong %d giây."
270       "Bạn không thể tự nói chuyện với bạn"
271       "Xin chào, tôi là cheerful guard"
272       "Không thể dịch chuyển tức thời"
273       "Bạn sẽ được dịch chuyển trong %d giây"
274       "Bạn không thể move tới map này khi đang cưỡi pet"
275       "Bạn cần đeo cánh để di chuyển tới map này"
276       "Quà tặng CashShop"
277  	  "%s đã tiêu diệt Rồng Vàng Con"
278  	  "%s đã tiêu diệt Người Máy Vàng"
279  	  "%s đã tiêu diệt Chiến Binh Vàng"
280  	  "%s đã tiêu diệt Kim Tiểu Quỷ"
281  	  "%s đã tiêu diệt Kim Thiết Vương"
282  	  "%s đã tiêu diệt Kim Ngư Vương"
283  	  "%s đã tiêu diệt Kim Ngư Tinh"
284  	  "%s đã tiêu diệt Kim Sát Thủ"
285  	  "%s đã tiêu diệt Kim Xạ Vương"
286  	  "%s đã tiêu diệt Kỵ Sĩ Hoàng Kim Giáp"
287  	  "%s đã tiêu diệt Ác Quỷ Hoàng Kim Giáp"
288  	  "%s đã tiêu diệt Quỷ đá Hoàng Kim Giáp"
289  	  "%s đã tiêu diệt Hoàng Kim Giáp Binh"
290  	  "%s đã tiêu diệt Hoàng Kim mộc Giáp"
291  	  "%s đã tiêu diệt Xích quỷ Hoàng Kim"
292  	  "%s đã tiêu diệt Chiến Binh Hoàng Kim"
293  	  "%s đã tiêu diệt Hỏa Diệm Hoàng Kim"
294  	  "%s đã tiêu diệt Kim Long"
295  	  "%s đã tiêu diệt Thỏ Hoàng Kim Giáp"
304       "Ice Walker xuất hiện!"
305       "bạn không đủ mạnh để tham gia Double Goer"
306       "Ice Walker đã bị tiêu diệt!"
320       "Selupan xuất hiện! Gate of Hatchery sẽ đóng cửa sau %d phút"
321       "Hatchery gate đã đóng"
322       "Người chơi %s tiêu diệt Selupan!"
323       "Gate of Hatchery sẻ mở cửa lại trong %d minute(s)"
324       "Gate of Hatchery mở cửa!"
325       "Hatchery gate đã đóng"
326       "[Gate of Hatchery] sẽ mở ra sau %d Phút"
327       "[Gate of Hatchery] Sự Kiện sẽ kết thúc sau %d Phút"
328       "[Gate of Hatchery] sẽ đóng lại sau %d Phút"
329       "[Gate of Hatchery] đã kết thúc, hãy chờ đợt event sau !"
336       "Tháp tinh luyện sẽ đóng cửa sau 60 phút(s)"
337       "Tháp tinh luyện sẽ đóng cửa sau 20 phút(s)"
338       "Cánh cổng Kanturu đã mở"
339       "Trận chiến với Maya sắp bắt đầu, hãy sẵn sàng"
340       "Trận chiến sẽ tiếp tục sau 1 phút nữa"
341       "Nightmare xuất hiện! tiêu diệt để mở cổng Refinement Tower"
342       "Nightmare đã bị tiêu diệt! Refinement Tower đã mở cổng"
343       "Đã hết thời gian, Bạn sẽ bị dịch chuyển khỏi Event"
352       "Castle Deep sẽ bắt đầu sau 5 phút nữa"
353       "Castle Deep bắt đầu"
354       "Castle Deep kết thúc"
355       "%s đã tiêu diệt Kim Long VIP"
356       "%s bị tiêu diệt bởi %s"
368       "Balgass đã gia nhập lực lượng với hạm đội Kundun và chuẩn bị tấn công pháo đài Crywolf"
369       "Chiến binh của Balgass đã sẵn sàng tấn công pháo đài Crywolf"
370       "Một Hải quân Balgass đang diễu hành cho một pháo đài Crywolf"
371       "Hạm đội của Balgass đang tiếp cận pháo đài của Crywolf"
372       "Không có Elf nào kết nối với các bàn thờ, khiến bức tượng sói không được bảo vệ"
373       "Balgass sẽ còn sống cho đến khi kết thúc trận chiến"
374       "Phòng thủ thất bại! Bức tượng sói linh thiêng đã được Balgass chụp"
375       "Quốc phòng đã thành công! Tượng sói linh thiêng đã được bảo vệ"
376       "Thời gian kết nối Wolf Altar sẽ bắt đầu sau %d giây"
377       "Thời gian kết nối Wolf Altar sẽ bắt đầu sau %d phút"
378       "Balgass Armada sẽ tấn công trong %d giây"
379       "Balgass Armada sẽ tấn công trong %d phút"
380       "Không có sự bảo vệ của Yêu tinh, bức tượng sói linh thiêng đã không được bảo vệ"
381       "Balgass đang đến! Bảo vệ bức tượng sói linh thiêng"
382       "Armg Balgass bắt đầu tấn công Tượng Sói thiêng"
383       "Hạm đội của Balgass đã bị đánh bại với sự giúp đỡ của các anh hùng"
384       "MvP Rank: %d"
385       "MvP Experience: %d"
386       "Balgass đã bị giết bởi %s!"
387       "Balgass đã bị giết!"
388       "Dark Elf %d đã bị giết bởi %s!"
389       "MvP Point: %d"
390       "Đã kết nối với Altar %d"
391 "%s được kết nối với bàn thờ %d"
392 "Bàn thờ %d đã được kết nối"
393 "Thời gian kết nối cho người đi bộ %d chưa bắt đầu"
394 "Bàn thờ %d đã được kết nối hơn 2 lần"
395 "Vị trí để kết nối với bàn thờ %d là sai"
396 "%s đang cố gắng kết nối với bàn thờ %d"
397 "Bạn sẽ được kết nối với bàn thờ trong 5 giây"
398 "Không di chuyển cho đến khi kết nối hoàn tất"
399 "Kết nối với bàn thờ %d đã bị hủy"
400 "Rào chắn của bức tượng sói linh thiêng đã biến mất"
401 "Số lượng kết nối: %d, Tuổi thọ tượng: %d"
402 "Rào chắn của bức tượng sói linh thiêng đã được tạo ra"
403 "Kết nối yêu cầu Elfa cấp 260 trở lên"
416 "Castle Siege đã kết thúc"
417 "Thời gian đăng ký Castle Siege đã bắt đầu"
418 "Thời gian đăng ký huy hiệu Castle Siege đã bắt đầu"
419 "Thời kỳ tuyển chọn Castle Siege Guild bắt đầu"
420 "Lựa chọn bang hội Castle Siege đã được hoàn thành"
421 "Thời gian chuẩn bị cho Castle Siege đã bắt đầu"
422 "Castle Siege sẽ bắt đầu sau %d phút"
423 "Cuộc bao vây lâu đài đang được chơi"
424 "Bang hội %s đã thành công trong việc bảo vệ lâu đài"
425 "Guild %s trở thành chủ sở hữu lâu đài mới"
426 "Chủ sở hữu lâu đài chưa được xác định"
427 "Chỉ người bảo vệ tượng"
432 "Vị trí người chơi %s đã được thay đổi thành Trợ lý thủ lĩnh bang hội"
433 "Vị trí người chơi %s đã được đổi thành Battlemaster"
434 "Vị trí người chơi %s đã được đổi thành Thành viên bang hội"
435 "Kiểu bang hội %s đổi thành %d"
436 "Bang hội đã gia nhập liên minh %s"
437 "Bang hội là kẻ thù của bang hội %s"
438 "Guild %s đã gia nhập liên minh %s"
439 "Bang hội rút khỏi bang hội"
440 "Guild %s đã rút khỏi liên minh %s"
441 "Bang hội không còn liên minh %s"
442 "Bang hội không còn là kẻ thù của bang hội %s"
443 "Liên minh% s đã bị phá vỡ"
448 "Bạn không thể triệu tập Life Stone bên ngoài Castle Siege"
449 "Chỉ có liên minh tấn công mới có thể triệu tập Life Stone"
450 "Một viên đá cuộc sống đã được triệu tập"
451 "Bạn không thể triệu hồi Life Stone trong Tháp Rồng"
452 "Life Stone đã được triệu tập thành công"
453 "Life Stone đã không được gọi"
464 "Bạn không thể triệu tập người lính bên ngoài Castle Siege"
465 "Chỉ liên minh phòng thủ mới có thể triệu tập người lính"
466 "Chỉ người lãnh đạo bang hội và trợ lý của anh ta mới có thể triệu tập người lính"
467 "Số lượng binh sĩ tối đa vượt quá"
468 "Người lính được triệu tập thành công"
469 "Người lính không được triệu tập"
480 "Máy chủ đã đóng"
481 "Máy chủ sẽ bảo trì sau %d giây"
482 "Đây là một item trùng lặp, vui lòng liên hệ với quản trị viên"
483 "Khóa trò chuyện của bạn đã kết thúc"
484 "Bạn sẽ thoát sau %d giây"
485 "Tự vệ chống lại %s đã bắt đầu"
486 "Tự vệ chống lại %s đã kết thúc"
487 "Máy chủ sẽ bảo trì sau 1 phút"
488 "Máy chủ sẽ bảo trì sau 3 phút"
489 "Máy chủ sẽ bảo trì sau 5 phút"
490 "Trận đấu sẽ tự động bắt đầu sau 10 giây"
491 "%s kiếm được %d Viên ngọc quý"
492 "%s đã giết Fenix"
493 "Bạn đã kiếm được %d điểm sự kiện và %d Vàng"
494 "%s giết một vàng"
495 "Bạn đã kiếm được %d điểm sự kiện và %d Vàng"
496 "%s đã giết Erohim"
497 "Bạn đã kiếm được %d điểm sự kiện và %d Vàng"
498       ""
499 "Xóa Errtels trước khi bạn đặt"
500 "[Vua MU] Sự kiện đã bắt đầu"
501 "[Vua MU] Sự kiện đã kết thúc"
502 "[Vua MU] Bắt đầu sau %d phút"
503 "[Vua MU] Bang hội %s đã chiếm được lâu đài!"
504 "[Vua MU] Bắt đầu sau %d giây"
505 " "
506 "Bạn không phải là thành viên của bang hội!"
507 "Bang hội của bạn đã sở hữu lâu đài!"
508 "Bạn không ở đúng tọa độ!"
509 "Bang hội của bạn phải có ít nhất %d thành viên!"
510 "Xin chúc mừng! Bang hội của bạn hiện đang sở hữu lâu đài!"
511 "[Vua MU] Kết thúc sau %d phút!"
512 " "
513 "Đã xóa thành công hòm đồ!"
514 "MuOnline Dev by Muonline Việt Nam"
515 "[%s] Giết [%s]-[%s]"
516 "[%s] Giết [%s]-[%s]"
517 ""
518 "Bạn không có quyền sử dụng /setvip"
519 "Vip được thêm thành công!"
520 "Tài khoản này không tồn tại!"
521 "%s Bạn không còn cần sự giúp đỡ của tôi"
522 "%s Gói vip của bạn không cho phép sử dụng buff này"
523 "%s Zen yêu cầu: %d"
524 "%s GBCoin bắt buộc: %d"
525 "%s Bạn phải ở trong gia đình Vanert"
526 "%s Bạn phải ở trong gia đình Duprian"
527 "%s Bạn phải ở trong gia đình Duprian"
528 "%s Bạn cần ở trong gia đình Vanert"
529 "%s Điểm gia đình cần thiết: %d"
530 "%s Thời gian: %d Phút (s)"
531 "%s Đã xóa %d Zen"
532 "%s Loại Bỏ %d PCPoint(s)"
533 "%s Buff Được áp dụng!"
565 "%s Đổi Item Exc Nhận %d WcoinC %d WcoinP"
602 "Bạn không thể kết hôn với chính mình 0,0!"
603 "Bạn vừa kết hôn với %s!"
604 "Bạn đã kết hôn!"
605 "Nhân vật kia đã kết hôn!"
606 "Cách sử dụng: [/marry to 'tên; | /marry divorce | /marry track or trace]!"
607 "Bạn không thể ly hôn trong tuần đầu tiên kết hôn!"
608 "Bạn vừa ly hôn!"
609 "Bạn chưa kết hôn!"
610 "Bạn đã theo dõi!"
611 "Di chuyển thành công!"
612 "%s vừa kết hôn %s!"
613 "%s vừa ly hôn %s!"
614 "[Hệ thống kết hôn] Chúc mừng"
615 "giữa %s và %s!"
616 "[Hệ thống kết hôn] Không cho phép hommo"
617 "Bạn cần ít nhất %d cấp để sử dụng lệnh này!"
618 "Anh ấy /Cô ấy cần ít nhất %d cấp để sử dụng lệnh này!"
619 "Hệ thống kết hôn đã bị vô hiệu hóa!"
620 "Bạn cần ít nhất %d zen để sử dụng lệnh này!"
621 "Bạn cần đứng đúng vị trí trong Devias2!"
622 "Mục tiêu của bạn cần đứng đúng vị trí trong Devias2!"
623 "Thông tin: [Cấp tối thiểu: %d | Chi phí theo dõi & theo dõi: %d zen]!"
624 "Bạn không thể ly hôn trong khi anh ấy /cô ấy bị ngắt kết nối!"
625 "Nhân vật kia không online!"
626 "Skin %d áp dụng cho %d người chơi!"
627 "Nhân vật %s không online!"
628 " "
629	"[%s] Quay vòng Ngọc, nhận %s !" 
630 "Bạn cần ở mức %d để sử dụng lệnh này!"
631 "Chỉ được phép sử dụng trong thành phố!"
632 "Bạn và đối thủ của bạn phải ở cấp %d để đấu tay đôi!"
633 "Lệnh không được kích hoạt cho tài khoản của bạn!"
634 "Lệnh: [/class dw, dk, elf, mg, dl, su]"
635 "Bạn phải chọn một class khác với bạn!"
636 "Bạn cần bỏ hết đồ trên người trước!"
637 "Class không có sẵn!"
638 "Yêu cầu đặt lại: %d!"
639 "[GM] %s vừa Online!"
640 "%s đã online!"
641 "Bạn không có quyền sử dụng!"
642 "Không tìm thấy ký tự!"
643 "Lệnh: [/phần thưởng LOẠI GIÁ TRỊ]"
644 "Loại giải thưởng không có sẵn!"
645 "Tiền thưởng lớn hơn mức cho phép!"
646 "Giải thưởng được thêm thành công!"
647 "Bạn không thể tự thưởng cho mình!"
648 "Lệnh: [/tải lại loại | Ex: /tải lại chung]"
649 "Tải lại được thực hiện thành công!"
650 "Lệnh: [/loại giá trị giải thưởng]"
651 "Tên tối thiểu 4 ký tực hoặc tối đa 10 ký tự."
652 "Tên đó đã tồn tại."
653 "Đợi %d giây để sử dụng lại."
654 "Tên đó đã tồn tại!"
655 "Tên đã thay đổi thành công!"
656 "Tên không thay đổi!"
657 "Nhân vật %s đã đổi tên thành %s!"
658 "Bạn phải rời khỏi bang hội để thay đổi tên."
659 "Bạn không thể sử dụng nó ngay bây giờ."
660 "[NHANH CHÓNG] Bắt đầu ở %s!"
661 "[NHANH CHÓNG] Sự kiện kết thúc sau %d phút!"
662 "[NHANH CHÓNG] Sự kiện kết thúc sau %d giây!"
663 "[NHANH CHÓNG] Người chiến thắng %s!"
664 "[NHANH CHÓNG] Kết thúc sự kiện - Không có người chiến thắng!"
665 "[NHANH CHÓNG] Chạy theo hợp âm x %d y %d"
666 "[NHANH CHÓNG] Kết thúc sự kiện - Sự kiện đã bị hủy!"
667 "Lỗi cấm!"
668 "Tài khoản bị cấm thành công!"
669 "Nhân vật bị cấm thành công!"
670 "[SỰ KIỆN] Đóng trong %d giây"
671 "[SỰ KIỆN] Thời gian tham dự đã hết!"
672 "[SỰ KIỆN] Đã hủy!"
673 "[SỰ KIỆN] %s đã bắt đầu một sự kiện!"
674 "[SỰ KIỆN] Nhập /Tham gia để tham gia!"
675 "[SỰ KIỆN] Người tham gia %s đã thêm!"
676 "[Tìm GM] Kết thúc sau %d giây"
677 "[Tìm GM] Đã kết thúc mà không có người chiến thắng!"
678 "[Tìm GM] Đã hủy!"
679 "[Tìm GM] %s đã bắt đầu sự kiện!"
680 "[Tìm GM] Tìm kiếm GM và giao dịch!"
681 "[Tìm GM] %s đã giành được sự kiện!"
682 "[Tìm GM] Sự kiện kết thúc sau %d phút!"
683 "[PEGAPEGA] Nó đã đóng!"
684 "[PEGAPEGA] Sự kiện đã bắt đầu. Nó bị từ chối!"
685 "[PEGAPEGA] Hết giờ!"
686 "[PEGAPEGA] Đã hủy!"
687 "[PEGAPEGA] Đã mở!"
688 "[PEGAPEGA] Nhập /muốn tham gia!"
689 "[PEGAPEGA] Người tham gia %s đã thêm!"
690 "[PEGAPEGA] %s đã chiến thắng sự kiện này!"
691 "[PEGAPEGA] %s đã bị bắt!"
692 "[Nhiệm Vụ %d] Bạn phải ở cấp %d hoặc +!"
693 "[Nhiệm Vụ %d] Bạn phải có %d Đặt lại (s) hoặc +!"
694 "[Nhiệm Vụ %d] Bạn phải có %d Master Reset (s) hoặc +!"
695 "[Nhiệm Vụ %d] Bạn phải có %d zen hoặc +!"
696 "[Nhiệm Vụ %d] Bạn phải truy cập %s (x %d, y %d)!"
697 "[Nhiệm Vụ %d] Bạn không có kế hoạch vip cần thiết!"
698 "[Nhiệm Vụ %d] Mục bắt buộc: %s!"
699 "[Nhiệm Vụ %d] Bạn phải giết %d %s (Thiếu: %d)!"
700 "[Nhiệm Vụ] Xin chúc mừng, bạn đã hoàn thành tất cả các nhiệm vụ!"
701 "[Nhiệm Vụ %d] Đã hoàn thành! Bạn đã thắng: %d WC, %d WP, %d GP!"
702 "Xin chúc mừng bạn đã nhận được một món quà!"
703 "Bạn đã nhận được tất cả quà tặng của bạn!"
704 "[Sống Hoặc Chết] Đã đóng!"
705 "Sự kiện [Sống Hoặc Chết] đã bắt đầu!"
706 "[Sống Hoặc Chết] Hết giờ!"
707 "[Sống Hoặc Chết] Đã hủy!"
708 "[Sống Hoặc Chết] Đã mở (Người tham dự tối đa: %d)!"
709 "[Sống Hoặc Chết] Nhập /thamgia"
710 "[Sống Hoặc Chết] Người tham gia %d: %s đã thêm!"
711 "[Sống Hoặc Chết] %s đã thắng sự kiện!"
712 "[Sống Hoặc Chết] Đặt viên đạn vào trống ...!"
713 "[Sống Hoặc Chết] Quay trống ...!"
714 "[Sống Hoặc Chết] Kích hoạt ...!"
715 "[Sống Hoặc Chết] CHÁY!"
716 "[Sống Hoặc Chết] HeadShot %s đã bị xóa!"
717 "[Sống Hoặc Chết] %s đã thoát không hề hấn gì!"
718 "[Vua của MU] Giải thưởng !!!!"
719 "[Vua MU] Guild %s đã chiến thắng sự kiện này!"
720 "[Vua của MU] Thời gian của chủ sở hữu: %d phút (s)!"
721 "[Vua MU] Tất cả các thành viên của bang hội trực tuyến đã giành chiến thắng:"
722 "[Vua MU] 10 WC !!!"
723 "[Vua MU] Nhân vật đạt được nhiều nhất:"
724 "[Vua MU] %d °: %s (Bang hội: %s)!"
725 "[Vua MU] giành được 10 nhà vệ sinh mỗi lần!"
726 "[Vua MU] Không có người chiến thắng!"
730 "Tài khoản + %d WC !"
731 "Tài khoản + %d WP !"
732 "Tài khoản + %d GP !"
733 "Lệnh: [/top tipo classe | Ej: /top rr dk]"
734 "Lệnh: [Clase: dk, dw, fe, mg, dl, su]"
735 "Không có kết quả!"
736 "%d ° Đã đặt: %s ( %d)"
737 "Điểm được phân phối lại"
738 "%s đã đạt thứ hạng %s!"
739 "Bạn đã đạt thứ hạng %s!"
740 "Tôi đã bị vô hiệu hóa = ("
741 "Bạn phải có 64 mảnh cùng loại trong kho"
742 "Cảm ơn bạn, tôi đã nhặt các vật phẩm và giao giải thưởng của bạn."
