//Index   	  Level        Grade  	  Option0    Option1  	 Option2   	 Option3   	 Option4  	 Option5   	 Option6   	 Duration    MapNumber 	   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
7197      		5      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			84      		91      		0	      	//昆顿徽章 5
7197      		6      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			92      		113      		0	      	//昆顿徽章 6
7197      		7      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			114      		150      		0	      	//昆顿徽章 7
7199      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		36      		*      			25      		150      		10      	//护身石
7208      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			0    			150      		0	      	//大药水
7209      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		38      		*      			69      		150      		100     	//原始之石
7269      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			60      		150      		0      		//注释说明
7278      		0      		0      		*      		*      		*      		*      		*      		*      		*      		0      		*      			*      			60      		150      		0      		//Dopple标志

end
