//Section   Type   MaxSocket
10           141     5
10           142     5
10           143     5
10           144     5
10           145     5
10           146     5
10           147     5
10           148     5
10           149     5
10           150     5
10           151     5
10           152     5
10           153     5
10           154     5
10           155     5
10           156     5
10           157     5
10           158     5
10           159     5
10           160     5
10           161     5
10           162     5
10           163     5
10           164     5
10           165     5
10           166     5
10           167     5
10           168     5
10           169     5
10           170     5
10           171     5
10           172     5
10           173     5
10           174     5
10           175     5
10           176     5
10           177     5
10           178     5
10           179     5
10           180     5
10           181     5
10           182     5
10           183     5
10           184     5
10           185     5
10           186     5
10           187     5
10           188     5
10           189     5
10           190     5
10           191     5
10           192     5
10           193     5
10           194     5
10           195     5
10           196     5
10           197     5
10           198     5
10           199     5
10           200     5
10           201     5
10           202     5
10           203     5
10           204     5
10           205     5
10           206     5
10           207     5
10           208     5
10           209     5
10           210     5

10           211     5
10           212     5
10           213     5
10           214     5
10           215     5
10           216     5
10           217     5
10           218     5
10           219     5
10           220     5
10           221     5
10           222     5
10           223     5
10           224     5
10           225     5
10           226     5
10           227     5
10           228     5
10           229     5
10           230     5
10           232     5
10           233     5
10           234     5
10           235     5
10           236     5
10           237     5
10           238     5
10           239     5
10           240     5
10           241     5
10           242     5
10           243     5
10           244     5
10           245     5
10           246     5
10           247     5
10           248     5
10           249     5
10           250     5
10           251     5
10           252     5
10           253     5
10           254     5
10           255     5
10           256     5
10           257     5
10           258     5
10           259     5
10           260     5

11          44     5
11          45     5
11          46     5
11          47     5
11          48     5
11          49     5
11          50     5
11          51     5
11          52     5
11          53     5
11          54     5
11          55     5
11          56     5
11          57     5
11          58     5
11          74     5
11          75     5
11          76     5

11           86     5
11           87     5
11           88     5
11           89     5
11           90     5
11           91     5
11           92     5
11           93     5
11           94     5
11           95     5
11           96     5
11           97     5
11           98     5
11           99     5
11           100     5
11           101     5
11           102     5
11           103     5
11           104     5
11           105     5
11           106     5
11           107     5
11           108     5
11           109     5
11           110     5
11           111     5
11           112     5
11           113     5
11           114     5
11           115     5
11           116     5
11           117     5
11           118     5
11           119     5
11           120     5
11           121     5
11           122     5
11           123     5
11           124     5
11           125     5
11           126     5
11           127     5
11           128     5
11           129     5
11           130     5
11           131     5
11           132     5
11           133     5
11           134     5
11           135     5
11           136     5
11           137     5
11           138     5
11           139     5
11           140     5
11           141     5
11           142     5
11           143     5
11           144     5
11           145     5
11           146     5
11           147     5
11           148     5
11           149     5
11           150     5
11           151     5
11           152     5
11           153     5
11           154     5
11           155     5
11           156     5
11           157     5
11           158     5
11           159     5
11           160     5
11           161     5
11           162     5
11           163     5
11           164     5
11           165     5
11           166     5
11           167     5
11           168     5
11           169     5
11           170     5
11           171     5
11           172     5
11           173     5
11           174     5
11           175     5
11           176     5
11           177     5
11           178     5
11           179     5
11           180     5
11           181     5
11           182     5
11           183     5
11           184     5
11           185     5
11           186     5
11           187     5
11           188     5
11           189     5
11           190     5
11           191     5
11           192     5
11           193     5
11           194     5
11           195     5
11           196     5
11           197     5
11           198     5
11           199     5
11           200     5
11           201     5
11           202     5
11           203     5
11           204     5
11           205     5
11           206     5
11           207     5
11           208     5
11           209     5
11           210     5

11           211     5
11           212     5
11           213     5
11           214     5
11           215     5
11           216     5
11           217     5
11           218     5
11           219     5
11           220     5
11           221     5
11           222     5
11           223     5
11           224     5
11           225     5
11           226     5
11           227     5
11           228     5
11           229     5
11           230     5

11           232     5
11           233     5
11           234     5
11           235     5
11           236     5
11           237     5
11           238     5
11           239     5
11           240     5
11           241     5
11           242     5
11           243     5
11           244     5
11           245     5
11           246     5
11           247     5
11           248     5
11           249     5
11           250     5
11           251     5
11           252     5
11           253     5
11           254     5
11           255     5
11           256     5
11           257     5
11           258     5
11           259     5
11           260     5





end
